group,avg_abs_return_pct,avg_trend_r2,avg_vol,avg_autocorr_1,max_trend_score,best_product
Liquid Breath Oxygen Shakes,11.569000000000003,0.36946290448451347,0.0010607300249375461,-0.042327229747663495,31134.64430697267,OXYGEN_SHAKE_GARLIC
Organic Microchips,23.578,0.5903623592074375,0.001399328205673393,-0.008915822004832537,27250.210908278535,MICROCHIP_OVAL
Galaxy Sounds Recorders,10.288000000000004,0.2741476868891461,0.0010032116485040772,-0.010124673161080072,27196.26964991671,GALAXY_SOUNDS_BLACK_HOLES
UV-Visors,13.709,0.48757642961698766,0.001002687749376266,-0.0011177789422704176,26020.436166999825,UV_VISOR_AMBER
Construction Panels,9.816999999999998,0.3366899637457039,0.0010049320036935284,-0.00416511374443243,18402.993460674003,PANEL_2X4
Purification Pebbles,27.079,0.5931870667243422,0.0018350349072926383,0.00020784306000470824,17670.9491595345,PEBBLES_XL
Vertical Sleeping Pods,13.453,0.49537862034655006,0.0010013566933661027,-0.0011233050646702796,15774.350093913941,SLEEP_POD_POLYESTER
Domestic Robots,14.856,0.6894984245151774,0.0011772207473156695,-0.07130093264354996,14125.94516251703,ROBOT_IRONING
Protein Snack Packs,5.503999999999998,0.39618209700425855,0.0006859525348492686,-0.022727541473181793,10123.439909497758,SNACKPACK_PISTACHIO
Instant Translators,9.309000000000003,0.3390858340668636,0.001001121233842698,-0.0037014792870655464,9381.273751503992,TRANSLATOR_VOID_BLUE
