day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread,bid_volume_total,ask_volume_total,order_book_imbalance,mid_return,mid_diff,future_mid_diff_1,rolling_mean_50,rolling_std_50,z_score_50
3,0,GALAXY_SOUNDS_BLACK_HOLES,11437,21,11435.0,36.0,,,11452,21,11453.0,36.0,,,11444.5,0.0,15,57.0,57.0,0.0,,,4.5,,,
3,100,GALAXY_SOUNDS_BLACK_HOLES,11442,22,11440.0,33.0,,,11456,22,11458.0,33.0,,,11449.0,0.0,14,55.0,55.0,0.0,0.00039320197474768115,4.5,-6.5,,,
3,200,GALAXY_SOUNDS_BLACK_HOLES,11435,22,11434.0,32.0,,,11450,22,11452.0,32.0,,,11442.5,0.0,15,54.0,54.0,0.0,-0.0005677351733776037,-6.5,-3.5,,,
3,300,GALAXY_SOUNDS_BLACK_HOLES,11432,24,11430.0,34.0,,,11446,24,11448.0,34.0,,,11439.0,0.0,14,58.0,58.0,0.0,-0.00030587721214769825,-3.5,0.5,,,
3,400,GALAXY_SOUNDS_BLACK_HOLES,11432,23,11431.0,33.0,,,11447,23,11449.0,33.0,,,11439.5,0.0,15,56.0,56.0,0.0,4.3710114520534304e-05,0.5,-1.0,,,
3,500,GALAXY_SOUNDS_BLACK_HOLES,11431,23,11430.0,33.0,,,11446,23,11448.0,33.0,,,11438.5,0.0,15,56.0,56.0,0.0,-8.741640805975948e-05,-1.0,1.0,,,
3,600,GALAXY_SOUNDS_BLACK_HOLES,11432,23,11430.0,35.0,,,11447,23,11448.0,35.0,,,11439.5,0.0,15,58.0,58.0,0.0,8.742405035633283e-05,1.0,-5.0,,,
3,700,GALAXY_SOUNDS_BLACK_HOLES,11427,16,11425.0,36.0,,,11442,16,11444.0,36.0,,,11434.5,0.0,15,52.0,52.0,0.0,-0.0004370820402990194,-5.0,6.0,,,
3,800,GALAXY_SOUNDS_BLACK_HOLES,11433,22,11432.0,37.0,,,11448,22,11450.0,37.0,,,11440.5,0.0,15,59.0,59.0,0.0,0.0005247277974551601,6.0,-13.0,,,
3,900,GALAXY_SOUNDS_BLACK_HOLES,11420,12,11418.0,27.0,,,11435,12,11437.0,27.0,,,11427.5,0.0,15,39.0,39.0,0.0,-0.001136313972291414,-13.0,3.0,11439.5,5.730037812557041,-2.0942270177873357
3,1000,GALAXY_SOUNDS_BLACK_HOLES,11423,14,11421.0,33.0,,,11438,14,11439.0,33.0,,,11430.5,0.0,15,47.0,47.0,0.0,0.0002625246116823021,3.0,0.0,11438.681818181818,6.075659335712984,-1.3466551907749238
