product,imbalance_vs_next_mid_diff_corr
GALAXY_SOUNDS_BLACK_HOLES,-0.0653626171038729
GALAXY_SOUNDS_DARK_MATTER,-0.047698293002251285
GALAXY_SOUNDS_PLANETARY_RINGS,-0.05028671220841538
GALAXY_SOUNDS_SOLAR_FLAMES,-0.05613726563001242
GALAXY_SOUNDS_SOLAR_WINDS,-0.048101950640998974
MICROCHIP_CIRCLE,-0.03076629748245235
MICROCHIP_OVAL,-0.028743371441146654
MICROCHIP_RECTANGLE,-0.01106978988865378
MICROCHIP_SQUARE,-0.032920787550170354
MICROCHIP_TRIANGLE,-0.007044318306313407
OXYGEN_SHAKE_CHOCOLATE,-0.052293079025473616
OXYGEN_SHAKE_EVENING_BREATH,-0.03759890852136763
OXYGEN_SHAKE_GARLIC,-0.04784826196332117
OXYGEN_SHAKE_MINT,-0.04423761009827766
OXYGEN_SHAKE_MORNING_BREATH,-0.03743793127341509
PANEL_1X2,-0.05697396694466119
PANEL_1X4,-0.03532915422286471
PANEL_2X2,-0.05124001293768366
PANEL_2X4,-0.034552329837554324
PANEL_4X4,-0.02649641226403446
PEBBLES_L,-0.020500705815722567
PEBBLES_M,-0.04231968366007131
PEBBLES_S,-0.039781170531064676
PEBBLES_XL,-0.022046010740754234
PEBBLES_XS,-0.025076402636296867
ROBOT_DISHES,-0.01821279994942223
ROBOT_IRONING,-0.03431387811278091
ROBOT_LAUNDRY,-0.02670409184667791
ROBOT_MOPPING,-0.03344218820182728
ROBOT_VACUUMING,-0.030397446767622474
SLEEP_POD_COTTON,-0.038052161659455574
SLEEP_POD_LAMB_WOOL,-0.033893772703332124
SLEEP_POD_NYLON,-0.04672491280758479
SLEEP_POD_POLYESTER,-0.046434507020849336
SLEEP_POD_SUEDE,-0.040161596673749626
SNACKPACK_CHOCOLATE,-0.09503777143840864
SNACKPACK_PISTACHIO,-0.1373910203413294
SNACKPACK_RASPBERRY,-0.0709966828684828
SNACKPACK_STRAWBERRY,-0.10318092697924561
SNACKPACK_VANILLA,-0.11242300772840866
TRANSLATOR_ASTRO_BLACK,-0.04256674598793206
TRANSLATOR_ECLIPSE_CHARCOAL,-0.041295237407588364
TRANSLATOR_GRAPHITE_MIST,-0.03207849061276727
TRANSLATOR_SPACE_GRAY,-0.025897711840251636
TRANSLATOR_VOID_BLUE,-0.05191544940804741
UV_VISOR_AMBER,-0.05088433294601825
UV_VISOR_MAGENTA,-0.056007579470372784
UV_VISOR_ORANGE,-0.057804692170351966
UV_VISOR_RED,-0.055451456121134626
UV_VISOR_YELLOW,-0.06549188511017891
