group,leader_candidate,follower_candidate,best_lag,lead_lag_corr,abs_lead_lag_corr
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_OVAL,5,0.029252429816593886,0.029252429816593886
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_RECTANGLE,5,-0.013640716620026734,0.013640716620026734
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_SQUARE,4,0.012259097735779894,0.012259097735779894
Organic Microchips,MICROCHIP_CIRCLE,MICROCHIP_TRIANGLE,1,-0.016598961709094785,0.016598961709094785
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_CIRCLE,5,0.013978249261832885,0.013978249261832885
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_RECTANGLE,2,0.017529800890314102,0.017529800890314102
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_SQUARE,5,0.020097929242856184,0.020097929242856184
Organic Microchips,MICROCHIP_OVAL,MICROCHIP_TRIANGLE,1,-0.011110575553210718,0.011110575553210718
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_CIRCLE,4,-0.011271047398688843,0.011271047398688843
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_OVAL,1,0.024028007226642258,0.024028007226642258
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_SQUARE,2,-0.014836377868131231,0.014836377868131231
Organic Microchips,MICROCHIP_RECTANGLE,MICROCHIP_TRIANGLE,5,-0.016496907868989264,0.016496907868989264
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_CIRCLE,3,0.02875150200628183,0.02875150200628183
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_OVAL,3,-0.01373732259648122,0.01373732259648122
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_RECTANGLE,5,0.006246468834611389,0.006246468834611389
Organic Microchips,MICROCHIP_SQUARE,MICROCHIP_TRIANGLE,5,-0.016768710229595543,0.016768710229595543
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_CIRCLE,3,-0.013152579338202823,0.013152579338202823
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_OVAL,1,0.01679020933164504,0.01679020933164504
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_RECTANGLE,3,-0.006712468786354296,0.006712468786354296
Organic Microchips,MICROCHIP_TRIANGLE,MICROCHIP_SQUARE,3,0.014091425272568871,0.014091425272568871
