group,product_a,product_b,price_corr,return_corr,beta_a_on_b,alpha_a_on_b,residual_mean,residual_std,residual_range,half_life_estimate,ratio_mean,ratio_std,observations
Purification Pebbles,PEBBLES_L,PEBBLES_M,-0.2924190186767944,0.020244009024565444,-0.6826862592350522,17880.090021766486,5.1222741603851315e-12,700.7822698154961,2771.853936548221,3898.62875384213,0.9633447316799124,0.08023328877434885,10000
Purification Pebbles,PEBBLES_L,PEBBLES_S,0.7082351055645255,0.012185441974101631,1.034346742346818,2235.9693068608876,-3.3760443329811098e-12,517.3491011703209,2621.942563178567,1360.3973118528052,1.3167413712114473,0.06771382348364927,10000
Purification Pebbles,PEBBLES_L,PEBBLES_XL,-0.8447152983481647,-0.493742234068841,-0.42864398211715815,16744.091212273222,3.364402800798416e-12,392.21334857474386,1569.8405280951702,1214.1206151313904,0.7243218780710767,0.1159256035876383,10000
Purification Pebbles,PEBBLES_L,PEBBLES_XS,0.45625117346644545,-0.0018690745430085798,0.682629821737879,6323.991181500349,-2.8870999813079833e-12,652.0946996117735,2557.9999701905344,3839.7594605362297,1.7335782083098388,0.13605457368699334,10000
Purification Pebbles,PEBBLES_M,PEBBLES_S,-0.3862362116193611,-0.0011104478934119595,-0.24161625212412843,12792.415993575729,2.4738255888223647e-14,289.5323290556937,1456.9406228950884,444.9311325994717,1.374305925985573,0.11125149380139783,10000
Purification Pebbles,PEBBLES_M,PEBBLES_XL,0.05435896643085176,-0.513053742792409,0.011815225519238094,10698.521391979079,2.9394868761301043e-12,313.4261410736561,1520.4146627790324,573.7250394996786,0.7486794628940218,0.07902944313188885,10000
Purification Pebbles,PEBBLES_M,PEBBLES_XS,0.032153384245799686,0.02654373726958948,0.020605938861184822,10746.99885257229,2.735760062932968e-13,313.7279427506326,1562.0253510014372,592.7953699861425,1.8067768516232428,0.1538366950039207,10000
Purification Pebbles,PEBBLES_S,PEBBLES_XL,-0.8687397324053031,-0.48810055444173395,-0.30184734132734736,12375.636439791018,3.4327968023717403e-12,248.51105380555666,1134.5831080915714,575.0650368354526,0.5503544445515098,0.08595562010940024,10000
Purification Pebbles,PEBBLES_S,PEBBLES_XS,0.7248335863971679,0.008246977709637712,0.7425588364604975,3452.0607686835924,3.026798367500305e-12,345.68136678484007,1963.1577064771827,457.85766286593247,1.3162258280652244,0.07348945162192534,10000
Purification Pebbles,PEBBLES_XL,PEBBLES_XS,-0.8294849698889404,-0.49673170725589555,-2.4457012895153047,29476.32486710308,4.423782229423523e-12,806.5898346481121,3326.338195984603,904.0247213947684,2.452999869289192,0.4129760850260451,10000
