timestamp,product,side,price,quantity,mode
0,VEV_5100,SELL,163,5,cross
0,VEV_5200,SELL,94,5,cross
0,VEV_5300,SELL,46,5,cross
100,VEV_5100,SELL,164,5,cross
100,VEV_5200,SELL,95,5,cross
100,VEV_5300,SELL,46,5,cross
200,VEV_5200,SELL,95,5,cross
200,VEV_5300,SELL,46,5,cross
300,VEV_5200,SELL,96,5,cross
300,VEV_5300,SELL,47,5,cross
400,VEV_5200,SELL,96,5,cross
400,VEV_5300,SELL,47,5,cross
500,VEV_5200,SELL,96,5,cross
500,VEV_5300,SELL,47,5,cross
600,VEV_5100,SELL,164,5,cross
600,VEV_5200,SELL,95,5,cross
600,VEV_5300,SELL,47,5,cross
700,VEV_5200,SELL,94,5,cross
700,VEV_5300,SELL,46,5,cross
800,VEV_5200,SELL,95,5,cross
800,VEV_5300,SELL,46,5,cross
900,VEV_5200,SELL,94,5,cross
900,VEV_5300,SELL,46,5,cross
1000,VEV_5100,SELL,165,5,cross
1000,VEV_5200,SELL,95,5,cross
1000,VEV_5300,SELL,47,5,cross
1100,VEV_5200,SELL,96,5,cross
1100,VEV_5300,SELL,47,5,cross
1200,VEV_5200,SELL,96,5,cross
1200,VEV_5300,SELL,47,5,cross
1300,VEV_5200,SELL,97,5,cross
1300,VEV_5300,SELL,48,5,cross
1400,VEV_5200,SELL,98,5,cross
1400,VEV_5300,SELL,48,5,cross
1500,VEV_5100,SELL,168,5,cross
1500,VEV_5200,SELL,98,5,cross
1500,VEV_5300,SELL,48,5,cross
1600,VEV_5200,SELL,97,5,cross
1600,VEV_5300,SELL,48,5,cross
1700,VEV_5200,SELL,98,5,cross
1700,VEV_5300,SELL,48,5,cross
1800,VEV_5200,SELL,98,5,cross
1800,VEV_5300,SELL,48,5,cross
1900,VEV_5200,SELL,98,5,cross
1900,VEV_5300,SELL,48,5,cross
2000,VEV_5200,SELL,97,5,cross
2000,VEV_5300,SELL,48,5,cross
2100,VEV_5200,SELL,97,5,cross
2100,VEV_5300,SELL,48,5,cross
2200,VEV_5200,SELL,96,5,cross
2200,VEV_5300,SELL,47,5,cross
2300,VEV_5200,SELL,97,5,cross
2300,VEV_5300,SELL,48,5,cross
2400,VEV_5200,SELL,97,5,cross
2400,VEV_5300,SELL,48,5,cross
2500,VEV_5200,SELL,98,5,cross
2500,VEV_5300,SELL,48,5,cross
2600,VEV_5200,SELL,97,5,cross
2600,VEV_5300,SELL,47,5,cross
2700,VEV_5200,SELL,97,5,cross
2700,VEV_5300,SELL,47,5,cross
2800,VEV_5200,SELL,96,5,cross
2800,VEV_5300,SELL,47,5,cross
2900,VEV_5200,SELL,97,5,cross
2900,VEV_5300,SELL,47,5,cross
3000,VEV_5200,SELL,97,5,cross
3000,VEV_5300,SELL,48,5,cross
3100,VEV_5200,SELL,98,5,cross
3100,VEV_5300,SELL,48,5,cross
3200,VEV_5200,SELL,99,5,cross
3200,VEV_5300,SELL,49,5,cross
3300,VEV_5200,SELL,100,5,cross
3300,VEV_5300,SELL,49,5,cross
3400,VEV_5200,SELL,100,5,cross
