group,product_a,product_b,price_corr,return_corr,beta_a_on_b,alpha_a_on_b,residual_mean,residual_std,residual_range,half_life_estimate,ratio_mean,ratio_std,observations
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_ECLIPSE_CHARCOAL,0.5544741937584481,0.011938028874826338,0.6833030333769797,2185.4289427299823,8.323695510625839e-13,327.3510906398425,1578.82259115347,715.5682752902911,0.9018271228627336,0.033320954141335055,10000
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_GRAPHITE_MIST,-0.1948942319247689,0.0007960086792459347,-0.20049331075311247,11026.636349229037,-7.566995918750763e-13,385.81295181220196,1722.0947827267046,1169.2462794014446,0.9062600434620471,0.057765829976686875,10000
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_SPACE_GRAY,-0.5418055863348747,0.0199617617503487,-0.5994889200493942,14788.570565161814,4.220055416226387e-12,330.61709373002975,1776.3685685830387,716.0651702995352,0.9412052474709384,0.0679444652579117,10000
Instant Translators,TRANSLATOR_ASTRO_BLACK,TRANSLATOR_VOID_BLUE,0.06566063733031886,0.013336763715627397,0.10298201220915552,7878.105424987912,2.7241185307502747e-12,392.5069820148353,1819.9906435993998,1014.0501364674573,0.809958634514421,0.03848684447135399,10000
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_GRAPHITE_MIST,-0.4992545396617259,-0.013356290621617592,-0.4167646868993706,14169.594335571688,-4.190951585769653e-12,276.56663622309605,1335.3919084901427,903.9707565544546,1.0054067548007513,0.059280321420844065,10000
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_SPACE_GRAY,-0.809469478241201,0.006323765343080484,-0.7267853249003271,16997.303324262673,2.176966518163681e-12,187.41808682371976,1090.8641408629228,318.73404116887053,1.0440025092761274,0.06916359012404034,10000
Instant Translators,TRANSLATOR_ECLIPSE_CHARCOAL,TRANSLATOR_VOID_BLUE,0.101069998733229,-0.008554194058473817,0.12863126162347258,8577.294940494297,-1.4901161193847657e-12,317.5586837211944,1411.7804993251684,1420.945507392649,0.8983504879590775,0.03313425573733877,10000
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_SPACE_GRAY,0.6421798141898037,0.008133485242949406,0.6907063216377409,3338.197624261813,-4.802132025361061e-12,293.1078657731285,1551.1899629210693,979.422323130484,1.0384995604284384,0.03286316696908163,10000
Instant Translators,TRANSLATOR_GRAPHITE_MIST,TRANSLATOR_VOID_BLUE,-0.5192341850696782,0.010925669406956925,-0.7916234591392863,18803.129792760945,-6.391201168298721e-12,326.78630803004125,1812.9638206893123,837.8351304630758,0.8957653956057755,0.04870309258859096,10000
Instant Translators,TRANSLATOR_SPACE_GRAY,TRANSLATOR_VOID_BLUE,-0.21648202840230082,0.01313052623636983,-0.30686011674685565,13033.238901200664,5.587935447692871e-13,347.0765318703167,1589.1179151849738,1803.5471121176065,0.8627405304149682,0.04096455525583697,10000
