group,product_a,product_b,price_corr,return_corr,beta_a_on_b,alpha_a_on_b,residual_mean,residual_std,residual_range,half_life_estimate,ratio_mean,ratio_std,observations
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_DARK_MATTER,0.40018944422593805,0.013829590889819969,0.4041655209140245,6895.684585561112,1.5017576515674591e-12,296.3024807991145,1561.5583997869853,1502.0287748213887,1.066434000116127,0.0346355202002203,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_PLANETARY_RINGS,-0.07963895259714078,0.0033157195759966986,-0.09506775448621842,12212.115740867945,7.92788341641426e-12,322.29474411259093,1626.4789159282209,4348.195221371692,0.9568854824346791,0.03709425266964093,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_FLAMES,-0.1421358240469364,-0.0030879805451716038,-0.10357513484282224,12274.133673324985,5.107722245156765e-12,320.03905457628827,1550.1566832794906,3188.478248305814,0.9881737461681347,0.05153744487151749,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_BLACK_HOLES,GALAXY_SOUNDS_SOLAR_WINDS,-0.13149035308988924,0.0025194541259774173,-0.0866282386920409,12001.002193569613,4.918547347187996e-12,320.51443007694684,1677.9411796059612,7575.628121110934,1.0800946550282655,0.0648078410722947,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_PLANETARY_RINGS,0.5105362385812985,-0.0018923580902380083,0.6034490923234249,3412.724830371396,9.255018085241318e-13,275.27517633115053,1400.146633778504,803.1807614185637,0.8974195554092604,0.024488366857909234,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_FLAMES,-0.5100164253161266,0.007769969074689539,-0.36799548166346197,14565.579508336901,6.170012056827545e-12,275.37391567987436,1407.7106038340098,857.3489125965983,0.9275618087843842,0.056158304088729,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_DARK_MATTER,GALAXY_SOUNDS_SOLAR_WINDS,0.6074939934735288,-0.011734301118697702,0.3962907623015584,6336.251454856612,-6.83940015733242e-12,254.29571166261033,1286.0273972379146,700.6548735027009,1.0123138694165212,0.039555713428290715,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_FLAMES,-0.6345972831231722,0.02675815303502724,-0.3873847033645368,15977.224417546091,8.509960025548935e-12,209.3237044249054,1129.484376844528,409.29769655225664,1.0337352372053217,0.058441634402363545,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_PLANETARY_RINGS,GALAXY_SOUNDS_SOLAR_WINDS,0.6967625009791083,0.007857747607858677,0.3845410129173886,7650.711942031777,-2.6833731681108476e-12,194.28045919456906,913.5197942422656,382.66585364636035,1.1283338041161748,0.040982547519083416,10000
Galaxy Sounds Recorders,GALAXY_SOUNDS_SOLAR_FLAMES,GALAXY_SOUNDS_SOLAR_WINDS,-0.6150178498861925,0.0032259082467308397,-0.5560340122384264,16992.62744577327,6.58910721540451e-12,349.8580251456186,1724.3535376747004,1081.07888733508,1.0959394963034756,0.08655420849236495,10000
