group,avg_relative_volatility,avg_mean_spread,avg_trade_count,avg_total_trade_quantity,avg_abs_imbalance,max_price_corr,avg_abs_price_corr,best_residual_std,best_half_life,max_abs_lead_lag_corr,avg_abs_lead_lag_corr,pattern_score
Domestic Robots,0.04907983884532203,7.14528,255.0,649.0,0.00014645309454022306,0.9129623056436311,0.5862636421853562,190.46526130608487,563.2435344646741,0.03456043142996841,0.016261113987018086,4.842702273682669
Galaxy Sounds Recorders,0.03402983472869873,13.89558,255.0,649.0,2.610455125486163e-05,0.6967625009791083,0.4327878865319331,194.28045919456906,382.66585364636035,0.041088730883940085,0.017487989072787716,2.542448588495267
Instant Translators,0.03465339447681519,8.80902,255.0,649.0,6.167064738131935e-05,0.809469478241201,0.41445246936463487,187.41808682371976,318.73404116887053,0.036905496977314906,0.018359528234394417,1.974686093180297
Construction Panels,0.04539071982218941,9.31224,255.0,649.0,5.455742815602781e-05,0.769441860136517,0.4448263348459399,203.52713731256912,550.090173626152,0.02754518791463351,0.016805860036237,0.7213271432966144
Vertical Sleeping Pods,0.03416563464170262,9.62908,255.0,649.0,6.167064738131935e-05,0.7736133203507718,0.5843045799095214,200.93696620302362,428.2275662056913,0.022671075979214868,0.014561860598489174,0.333570955154296
Organic Microchips,0.05478835472257605,8.9587,194.0,383.0,0.0002789817971802442,0.8511327160304828,0.5162964444582165,194.50714170461058,444.16090494679463,0.024653926326562332,0.014652228137228145,-0.4935437818804125
Purification Pebbles,0.05855342941726286,12.81712,230.0,829.0,5.8695120674977694e-05,0.8289302110516,0.31037930641317485,267.5048279985719,447.3689938363623,0.027627198885698756,0.01765704046417515,-1.2832394052618792
Protein Snack Packs,0.015458232366144117,16.81304,255.0,649.0,2.9374709355299245e-05,0.980115947096104,0.48373475129884724,31.59309584905263,196.39821267814764,0.026307774607343275,0.018728820981815532,-2.3751884718227547
Liquid Breath Oxygen Shakes,0.034242341074131585,12.87278,255.0,649.0,2.610455125486163e-05,0.5775168405529957,0.31117400026625036,177.8448764396031,367.44151885663365,0.026303156826383046,0.016677042985549912,-2.585844202020655
UV-Visors,0.026772108968744844,13.16298,255.0,649.0,2.610455125486163e-05,0.47118451630818164,0.22512058559307918,232.89520274237873,524.2856721390164,0.02862431582560927,0.01680290033948519,-3.6769191928234513
