group,avg_relative_volatility,avg_mean_spread,avg_trade_count,avg_total_trade_quantity,avg_abs_imbalance,max_price_corr,avg_abs_price_corr,best_residual_std,best_half_life,max_abs_lead_lag_corr,avg_abs_lead_lag_corr,pattern_score
Organic Microchips,0.05815714847623218,8.50768,201.0,394.0,0.00014876339367931197,0.9226622617307154,0.5410049038994813,228.7499338760786,187.01009057050095,0.029252429816593886,0.01586753937939509,3.6899705478750127
Purification Pebbles,0.06828357578978392,12.81362,202.0,700.0,0.00011470766910046703,0.8687397324053031,0.5197427447043353,248.51105380555666,444.9311325994717,0.029488234367323226,0.015212861447903899,3.5806572983781995
Instant Translators,0.035759179971423534,8.79332,249.0,594.0,1.7153884849204007e-06,0.8118866455451783,0.48736842627034827,154.6247852686431,290.9631432347223,0.029899134874931798,0.015284234292285115,3.2371349915594165
Construction Panels,0.03792807403932869,9.327119999999999,249.0,594.0,4.026890023708843e-06,0.8647249038043417,0.4749837078956961,190.7808770310403,357.76739228588406,0.029106885276116677,0.015581027041306563,2.7220875769359614
Vertical Sleeping Pods,0.032254020454191144,10.15804,249.0,594.0,1.7153884849204007e-06,0.8442085984279785,0.44900570179670807,255.93764426248455,246.93281177511517,0.027075441475911014,0.015228174339349237,0.8260971693772424
Liquid Breath Oxygen Shakes,0.04305107095517718,13.01002,249.0,594.0,1.3272896178862615e-05,0.8942649885377526,0.4479897172148064,202.61938540391003,430.8446595463127,0.02389496576902638,0.01620635162864066,-0.36370035111021004
Domestic Robots,0.024330648998300473,7.03028,249.0,594.0,1.6373270025504158e-05,0.7342335702087934,0.37207422486195985,163.986491254433,71.09933801108784,0.024046208731283738,0.014272748238948026,-2.0459876340376453
Protein Snack Packs,0.016416519757427687,16.79846,249.0,594.0,5.579179367247873e-06,0.9615710657301753,0.4339590016808305,48.084271246642686,451.00801391615096,0.022459521043024993,0.015851575408701402,-3.5483386781248227
UV-Visors,0.03889312329526031,13.18538,249.0,594.0,1.3272896178862615e-05,0.6985789786615821,0.2756555539936417,144.34761262113577,356.23430188015436,0.023575512836739906,0.01301549501391116,-3.7592874269700496
Galaxy Sounds Recorders,0.033879473423866116,14.01892,249.0,594.0,1.3272896178862615e-05,0.59333125493773,0.3043880143579776,261.06975503069975,532.6630307757957,0.02225461589334727,0.014807431023004932,-4.338633493883113
