timestamp,cash,inventory_value,total_pnl,pos_TOMATOES,mid_TOMATOES,pos_EMERALDS,mid_EMERALDS
0,0.0,0.0,0.0,,,,
100,0.0,0.0,0.0,,,,
200,0.0,0.0,0.0,,,,
300,0.0,0.0,0.0,,,,
400,0.0,0.0,0.0,,,,
500,0.0,0.0,0.0,,,,
600,0.0,0.0,0.0,,,,
700,0.0,0.0,0.0,,,,
800,0.0,0.0,0.0,,,,
900,0.0,0.0,0.0,,,,
1000,0.0,0.0,0.0,,,,
1100,40056.0,-40080.0,-24.0,-8.0,5010.0,,
1200,40056.0,-40056.0,0.0,-8.0,5007.0,,
1300,40056.0,-40060.0,-4.0,-8.0,5007.5,,
1400,40056.0,-40056.0,0.0,-8.0,5007.0,,
1500,80120.0,-80176.0,-56.0,-16.0,5011.0,,
1600,80120.0,-80120.0,0.0,-16.0,5007.5,,
1700,80120.0,-80112.0,8.0,-16.0,5007.0,,
1800,80120.0,-80104.0,16.0,-16.0,5006.5,,
1900,80120.0,-80104.0,16.0,-16.0,5006.5,,
2000,80120.0,-80096.0,24.0,-16.0,5006.0,,
2100,80120.0,-80088.0,32.0,-16.0,5005.5,,
2200,80120.0,-80064.0,56.0,-16.0,5004.0,,
2300,80120.0,-80056.0,64.0,-16.0,5003.5,,
2400,80120.0,-80048.0,72.0,-16.0,5003.0,,
2500,80120.0,-80040.0,80.0,-16.0,5002.5,,
2600,80120.0,-80040.0,80.0,-16.0,5002.5,,
2700,80120.0,-80056.0,64.0,-16.0,5003.5,,
2800,80120.0,-80064.0,56.0,-16.0,5004.0,,
2900,80120.0,-80064.0,56.0,-16.0,5004.0,,
3000,80120.0,-80048.0,72.0,-16.0,5003.0,,
3100,80120.0,-80048.0,72.0,-16.0,5003.0,,
3200,176.0,-40.0,136.0,-16.0,5002.5,8.0,10000.0
3300,176.0,-48.0,128.0,-16.0,5003.0,8.0,10000.0
3400,10192.0,-10045.0,147.0,-18.0,5002.5,8.0,10000.0
3500,10192.0,-10027.0,165.0,-18.0,5001.5,8.0,10000.0
3600,10192.0,-10027.0,165.0,-18.0,5001.5,8.0,10000.0
3700,10192.0,-10027.0,165.0,-18.0,5001.5,8.0,10000.0
3800,10192.0,-10018.0,174.0,-18.0,5001.0,8.0,10000.0
3900,10192.0,-10036.0,156.0,-18.0,5002.0,8.0,10000.0
4000,10192.0,-10045.0,147.0,-18.0,5002.5,8.0,10000.0
4100,10192.0,-10045.0,147.0,-18.0,5002.5,8.0,10000.0
4200,10192.0,-10013.0,179.0,-18.0,5002.5,8.0,10004.0
4300,-19820.0,20018.0,198.0,-12.0,4998.5,8.0,10000.0
4400,-19820.0,19982.0,162.0,-12.0,5001.5,8.0,10000.0
4500,-19820.0,19976.0,156.0,-12.0,5002.0,8.0,10000.0
4600,-19820.0,19976.0,156.0,-12.0,5002.0,8.0,10000.0
4700,-19820.0,19976.0,156.0,-12.0,5002.0,8.0,10000.0
4800,-19820.0,19976.0,156.0,-12.0,5002.0,8.0,10000.0
4900,-19820.0,19976.0,156.0,-12.0,5002.0,8.0,10000.0
5000,-89771.0,89910.0,139.0,-12.0,5002.5,15.0,9996.0
5100,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5200,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5300,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5400,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5500,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5600,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
5700,-89771.0,89928.0,157.0,-12.0,5006.0,15.0,10000.0
5800,-89771.0,89982.0,211.0,-12.0,5001.5,15.0,10000.0
5900,-89771.0,89982.0,211.0,-12.0,5001.5,15.0,10000.0
6000,-89771.0,89976.0,205.0,-12.0,5002.0,15.0,10000.0
6100,-89771.0,89976.0,205.0,-12.0,5002.0,15.0,10000.0
6200,-89771.0,89970.0,199.0,-12.0,5002.5,15.0,10000.0
