timestamp,symbol,side,price,quantity,reason
3300,EMERALDS,BUY,9993,8,passive
3500,TOMATOES,SELL,5008,2,passive
5100,EMERALDS,BUY,9993,7,passive
7100,TOMATOES,SELL,5009,4,passive
9700,TOMATOES,BUY,5000,5,passive
10000,TOMATOES,BUY,5001,4,passive
16500,TOMATOES,BUY,4997,2,passive
18000,TOMATOES,SELL,5008,2,passive
22300,TOMATOES,SELL,5004,3,passive
23600,TOMATOES,BUY,4990,3,passive
24700,TOMATOES,SELL,5001,5,passive
26200,TOMATOES,BUY,4989,2,passive
30000,TOMATOES,BUY,4988,7,aggressive
31500,EMERALDS,SELL,10007,3,passive
33200,TOMATOES,BUY,4989,8,aggressive
34800,TOMATOES,SELL,4997,4,passive
36500,TOMATOES,BUY,4987,2,passive
36800,TOMATOES,BUY,4986,2,passive
39500,TOMATOES,BUY,4979,2,passive
40000,EMERALDS,BUY,9993,7,passive
42500,EMERALDS,BUY,9993,5,passive
44000,TOMATOES,SELL,4988,5,passive
45600,TOMATOES,SELL,4983,7,aggressive
46600,TOMATOES,BUY,4982,9,aggressive
51400,EMERALDS,BUY,9993,7,passive
52900,TOMATOES,SELL,4993,4,passive
53200,TOMATOES,SELL,4994,2,passive
53700,TOMATOES,SELL,4995,2,passive
54500,TOMATOES,BUY,4984,3,passive
55400,EMERALDS,BUY,9993,6,passive
55800,EMERALDS,BUY,9993,4,passive
56500,TOMATOES,BUY,4985,9,aggressive
59800,TOMATOES,SELL,4992,5,passive
61400,TOMATOES,SELL,4990,6,aggressive
62800,EMERALDS,BUY,9993,8,passive
64200,TOMATOES,BUY,4985,4,passive
66200,TOMATOES,BUY,4990,3,passive
66800,EMERALDS,SELL,10007,7,passive
67400,EMERALDS,BUY,9993,7,passive
70700,TOMATOES,SELL,4992,2,passive
71300,TOMATOES,SELL,4992,2,passive
73600,TOMATOES,BUY,4983,3,passive
73800,EMERALDS,BUY,9993,3,passive
74300,TOMATOES,SELL,4995,3,passive
75300,TOMATOES,BUY,4983,4,passive
78400,TOMATOES,SELL,4996,5,passive
79200,TOMATOES,BUY,4985,5,passive
80400,TOMATOES,BUY,4986,3,passive
80500,EMERALDS,BUY,9993,3,passive
81000,TOMATOES,BUY,4985,2,passive
81100,TOMATOES,BUY,4985,4,passive
81500,TOMATOES,BUY,4985,5,passive
83900,EMERALDS,BUY,9993,7,passive
84600,TOMATOES,BUY,4980,3,passive
84600,TOMATOES,SELL,4987,6,aggressive
85600,TOMATOES,BUY,4978,2,passive
86100,TOMATOES,SELL,4990,5,passive
87200,TOMATOES,SELL,4984,9,aggressive
87700,EMERALDS,BUY,9993,8,passive
94000,EMERALDS,SELL,10007,7,passive
94100,TOMATOES,BUY,4978,3,passive
95200,EMERALDS,BUY,9993,7,passive
96600,EMERALDS,SELL,10007,6,passive
97300,TOMATOES,BUY,4979,4,passive
97400,TOMATOES,SELL,4985,6,aggressive
97600,TOMATOES,BUY,4979,3,passive
98100,EMERALDS,BUY,9993,7,passive
98500,EMERALDS,SELL,10007,7,passive
101300,EMERALDS,SELL,10007,6,passive
101700,EMERALDS,SELL,9999,6,passive
103800,EMERALDS,BUY,9993,5,passive
108100,EMERALDS,BUY,9993,4,passive
110300,TOMATOES,BUY,4987,5,passive
110800,EMERALDS,BUY,9993,6,passive
112000,TOMATOES,BUY,4987,3,passive
112100,TOMATOES,SELL,4998,4,passive
113100,TOMATOES,SELL,4998,4,passive
116400,TOMATOES,SELL,5000,2,passive
121000,TOMATOES,BUY,4991,3,passive
124900,TOMATOES,BUY,4990,2,passive
128500,EMERALDS,BUY,9993,3,passive
128800,TOMATOES,BUY,4989,3,passive
129100,TOMATOES,SELL,5000,2,passive
130600,TOMATOES,BUY,4986,3,passive
131000,TOMATOES,BUY,4986,2,passive
131800,EMERALDS,SELL,10007,8,passive
132000,TOMATOES,SELL,4998,4,passive
132200,EMERALDS,BUY,9993,6,passive
132200,TOMATOES,BUY,4987,4,passive
133500,TOMATOES,SELL,5000,4,passive
133800,EMERALDS,SELL,10007,8,passive
134000,EMERALDS,BUY,9993,3,passive
135600,EMERALDS,BUY,9993,5,passive
135700,EMERALDS,BUY,9993,7,passive
136300,TOMATOES,BUY,4988,4,passive
136300,TOMATOES,SELL,4995,5,aggressive
137700,TOMATOES,SELL,5000,5,passive
141400,EMERALDS,BUY,9992,5,passive
141700,TOMATOES,SELL,4997,10,aggressive
144300,TOMATOES,BUY,4987,2,passive
146200,EMERALDS,SELL,10007,4,passive
151600,TOMATOES,BUY,4985,2,passive
152100,EMERALDS,BUY,9992,4,passive
153500,TOMATOES,SELL,4995,4,passive
156600,TOMATOES,BUY,4988,10,aggressive
156800,TOMATOES,SELL,4996,3,passive
157700,TOMATOES,SELL,4995,3,passive
158400,EMERALDS,SELL,10007,3,passive
159000,TOMATOES,BUY,4977,2,passive
159300,TOMATOES,BUY,4979,3,passive
161100,TOMATOES,BUY,4978,3,passive
161900,TOMATOES,BUY,4977,2,passive
162500,TOMATOES,BUY,4977,3,passive
163000,TOMATOES,BUY,4976,5,passive
163200,TOMATOES,SELL,4983,8,aggressive
167400,TOMATOES,BUY,4983,2,passive
